,Title,Keywords,Description,sector_agriculture,sector_LULUCF,matches,count_matches
316,Regulation of the Council of Ministers on types of programmes and projects to be implemented under the National Green Investment Scheme (GIS),"Institutions / Administrative Arrangements, Research And Development, Energy Supply, Energy Demand, Redd+ And Lulucf, Transportation","This implements the Article 22(3) of the Act on the System to Manage the Emissions of GHGs and Other Substances of 17 July 2009. The regulation stipulates the types of programmes and projects to be implemented in the areas referred to in Article 22(2) of the Act on the system to manage the emissions of GHGs and other substances of 17 July 2009.<br />
<br />
It also stipulates the following:<br />
- Improvement of energy efficiency in various sectors;<br />
- Improvement of coal use efficiency including clean coal technologies;<br />
- The use of low-emission fuels;<br />
- Avoidance or reduction of GHG emissions in the transportation sector;<br />
- Use of renewable energy sources;<br />
- Avoidance or reduction of methane emissions by recycling and use in the mining industry, waste and waste-water disposal and in farming, as well as by use in power generation; actions in relation with GHG sequestration;<br />
- Other actions to reduce or avoid national emission of GHGs or to absorb CO2 and adapt to climate change;<br />
- Research and development works on the use of renewable energy sources and advanced and innovative environmentally friendly technologies; and<br />
- Educational activities, including training events in support of the national obligations.",1,0,'farming',1
347,Act on Biocomponents and Liquid Biofuels (Dz.U. 2006 nr 169 poz. 1199),Energy Supply,"<div>This Act (last amended in January 2015) establishes that the producers, importers and suppliers of fuels are obliged to meet an annual quota of biofuels in the total amount of liquid fuels produced, supplied and imported. The obligation levels are determined every three years for a period of six years by the Council of Ministers.<br><br>&nbsp;The following biocomponents are eligible: bioethanol, biomethanol, biobutanol, ester dimethylether, pure vegetable oil, bio liquid hydrocarbons, bio propane-butane, liquefied biomethane, compressed biomethane and biohydrogen, which are produced from biomass for use in the manufacture of liquid fuels or biofuels (art. 2 par. 1 no. 3). The biocomponents and bioliguids can only count towards the quota and be eligible for financial support, if they meet the sustainability criteria set out within the recognized certification system (art. 28b-28c) approved by the European Commission, including GHG emission reduction, protection of land with high biodiversity value, peatland protection and sustainable farming criteria (art. 28a).<br><br>The Act is detailed by Regulation of 23 July 2013 on the National Indicative Targets for 2013-2018). The Regulation established that the obliged companies have to ensure that biofuels make up the following quotas of the company's total annual sale or consumption of fuel: 7.10% between 2013 and 2016, 7.80% in 2017 and 8.50% in 2018.<br><br>This document was amended by the Act no. 1356/2019 ""amending the act on biocomponents And liquid biofuels and some other Acts"", notably to establish the Low-Emission Transport Fund.</div>",1,0,'farming',1
372,Government Decision on the reorganization of the National Commission on Climate Change (NCCC) 1026/ 2014,"Institutions / Administrative Arrangements, Research And Development","The directive reorganised NCCC as a ministerial body to promote uniform application of measures and actions needed to deal with climate change. The main tasks are to analyse the progress of achieving targets set in National Action Plan on Climate Change, identify and extend technical and financial assistance required actions, conduct research on international climate policy and actions as well as support on national communication and obligations, and co-ordinate and liaise with other organisations in Romania and outside to enable implementation of Romanian obligations and treaties.",0,0,,0
393,Resolution of Council of Ministers 93/2010 mandating the development of a new regulatory framework for post-2010 climate policy in Portugal,Institutions / Administrative Arrangements,"This Resolution establishes that the Government will draft different documents to address the challenges of climate change arising from commitments for the post-2012 period:
- a National Low Carbon Roadmap, with horizons of 2020, 2030 and 2050, taking into account the European Low Carbon Guideline, prepared by the Commission, and its lessons for national climate policy in the short and medium term
- a National Climate Change Plan 2020, listing the measures for emission reduction aimed at attaining, at least, the targets stipulated by the Effort Sharing Decision and preparing higher targets for the country, to be defined by community institutions
- Low Carbon Sector Plans, stipulating the contribution by the different ministries and departments (including related enterprises) towards the reduction of their indirect emissions.",0,0,,0
400,Act amending the Personal Income Tax Act and the Corporate Income Tax Act ,Transport,"<div>This document amends the Personal Income Tax Act and the Corporate Income Tax Act in order to introduce an income tax exemption for subsidies on low-emission vehicles.<br><br>The Act of 26 July 1991 on personal income tax is notably amended so that in art. 21 in paragraph 1 after item 129a, item 129b is added: ""129b) benefits, in particular subsidies and amounts of canceled loans, received from the Low-Emission Transport Fund;"".<br><br>The Act of February 15, 1992 on corporate income tax' Art. 17.1.60 is added: ""benefits, in particular subsidies and amounts of canceled loans, received from the Low-Emission Transport Fund.""</div>",0,0,,0
414,Decree-Law no. 4/2018 on incentives to electric mobility,"Energy Supply, Energy Demand, Transportation","This Decree-Law creates an incentive to promote the replacement of fossil fuels with electricity for the supply of municipal public passenger transport vehicles. The regime provided for in this decree-law expires on December 31, 2025.The price of electric energy used in the supply of electric vehicles for the municipal and intermunicipal public passenger transport service and for the activity of collecting undifferentiated waste and recyclable materials is subject to a discount. This discount will be revised every couple of years.",0,0,,0
415,Law on power market,Energy Supply,"<br />
<br />
The present law was signed by the Polish President in December 2017. The law aims at enhancing the security of electricity supply and new energy capacity sources, especially renewables. The law introduces a market-wide capacity mechanism. Generation and demand-response capacity providers will be able to receive remuneration for their availability to generate electricity or to reduce their electricity consumption.",0,0,,0
496,National Transport Strategy 2050,Transportation,"<br />
<br />
<br />
<br />
The National Transport Strategy 2050 is a holistic document designed to provide Malta with a long-term vision for a sustainable transport system. The document was prepared by the Authority for Transport in Malta, which was established in 2010 following the implementation of the Authority for Transport in Malta Act of 2009. It notably promotes energy efficiency, alternative fuel sources and active modes to reduce carbon emissions.<br />
<br />
<br />
<br />
<br />
<br />
Strategic goals, directions and indicators are laid out in the Strategy. The document creates the framework for the development of Transport Master Plans, which in turn provide planning framework for implementing specific measures. The current Transport Master Plan sets a vision to 2035 and include details of the financing schemes necessary to achieve targets set out in the Strategy.<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />",0,0,,0
576,Climate Act,"Industry, Institutions / Administrative Arrangements","<div>The Climate Act sets legally binding greenhouse gas (GHG) emissions reduction targets for the Netherlands. Specifically, it mandates the government to reduce its total GHG emissions by 95%, compared with a 1990 baseline, in the long run and achieve carbon neutrality in the electricity sector by 2050. It also requires the government to reduce its emissions by 49% by 2030 in the medium run. Lastly, the laws contains provisions for developing an implementation plan, measuring progress, and monitoring compliance and accountability.</div>",0,0,,0
585,Urgent Nitrogen Approach Act,,"<div>This emergency law contains rules to tackle nitrogen pollution in the country. This law was used by the government in order to reduce the <a href=""https://www.rijksoverheid.nl/onderwerpen/verkeersregels/vraag-en-antwoord/wat-is-de-maximumsnelheid-voor-auto-s-op-de-snelweg"">authorised daily speed limit</a> on all roads to 100 km/h, in order to reduce emissions of nitrogen oxides, but also to reduce the Netherlands' transport-sector CO2 emissions.</div>",0,0,,0
782,Carbon Budget Order 2016,Institutions / Administrative Arrangements,"The Carbon Budget Order 2016 sets the carbon budget for the 2028-2032 budgetary period as 1,725,000,000 tonnes of carbon dioxide equivalent (including emissions from international shipping). The budget limits annual emissions to an average 57 per cent below 1990 levels.<br />
Carbon budgets set a cap on the maximum level of the net UK carbon account for each five-year budgetary period. The net UK carbon account is defined in <a href=""http://www.legislation.gov.uk/ukpga/2008/27/section/27"">section 27 of the Climate Change Act 2008</a>.<br />
Full text (English) can be found <a href=""http://www.legislation.gov.uk/uksi/2016/785/made"">here</a>.",0,0,,0
783,Energy Act 2016,"Institutions / Administrative Arrangements, Energy Supply","The Energy Act 2016 formally establishes the Oil and Gas Authority (OGA), sets its regulatory powers, and regulates onshore wind power. It supersedes the previous versions of the Energy Act.<br />
<br />
The Act was amended and superseded by the Energy Act 2016.<br />
The OGA is set up to regulate the oil and gas sector while aiming to achieve the 'Principle Objective' of 'maximising the economic <em>recovery</em> of UK petroleum' and promoting carbon storage. Its main activities should include:<br />
<ul><br />
<li>Regulating oil and gas, and carbon storage;</li><br />
<li>Influencing industry culture, commercial behaviour, and promoting collaboration; and</li><br />
<li>Promoting investment in carbon and storage, creating value, and developing the industry.</li><br />
</ul><br />
The overall objectives of the Energy Act related to oil and gas industry include:<br />
<ul><br />
<li>regulate upstream petroleum infrastructure usage rights (Part 2)</li><br />
<li>regulate abandonment of offshore installations, submarine pipelines and upstream petroleum infrastructure (Part 3)</li><br />
<li>regulate extension of the Northern Ireland Part 1A of the Petroleum Act 1998 (Part 3)</li><br />
<li>regulate fees in respect of activities surrounding oil, gas, carbon dioxide and pipelines (Part 4)</li><br />
</ul><br />
The Act further amends Electricity Act 1989 to add provisions related to closure of onshore power stations and to use of Northern Ireland certificates (Part 5 of the Energy Act 2016).",0,0,,0
791,Code for Sustainable Homes,Energy Demand,"Building on the recommendations of the Sustainable Buildings Task Group, the Code was developed to support a step change in the building of sustainable new homes. The Code provides a single national standard to guide industry in the design and construction of sustainable homes, considering energy among other aspects.<br />
<br />
Since 2007 the developer of any new home in England can choose to be assessed against the Code. From 2008 it was mandatory for all new homes to be rated against the Code and to include a Code or nil-rated certificate within the Home Information Pack. Even though the requirement for the Home Information Pack for property sales was suspended in 2010, an Energy Performance Certificate is still required.<br />
<br />
There are six levels of the Code, with mandatory minimum standards for energy efficiency at each level. Level 1 represents a 10% improvement in energy efficiency over the 2006 Building Regulations. Level 6 would be a completely zero-carbon home (heating, lighting, hot water and all appliances).<br />
<br />
Improvements in the energy efficiency of new homes of more than 25% compared to 2006 regulations (Level 3 of the code) would probably require some form of low- or zero-carbon energy generation, either by individual buildings (eg dedicated solar water heating) or by whole developments sharing a source of low carbon generation (eg wind turbines).",0,0,,0
793,Low Carbon Transport Innovation Strategy,"Research And Development, Carbon Pricing, Energy Demand, Transportation","The Strategy sets out a wide range of actions that the UK is taking to encourage innovation and technology development in lower carbon transportation technologies, including stimulating investment in a broad range of R&D activities. Essential to this will be the use of regulatory frameworks such as carbon pricing and energy efficiency, but also government funding aimed at accelerating the development and market penetration of new lower carbon technologies.<br />
<br />
One major initiative is the Low Carbon Vehicles Innovation Platform, a GBP100m (USD156.6m) programme over five years supported by the Technology Strategy Board, the Engineering and Physical Sciences Research Council and Department for Transport, and funded through the Technology Strategy Board.",0,0,,0
858,"Creation of the High Level Committee for Co-ordination of Climate Change Policy (Coordination Committee), Resolution of the Slovak Government No. 821/2011",Institutions / Administrative Arrangements,"Replaced the Resolution of Government No. 416/2008 of June 18, 2008 establishing the High Level Committee on Climate-Energy Package. The new Committee is co-ordinated by the Ministry of Environment and consists of State Secretaries of selected ministries. The Co-ordination Committee regularly submits reports to the Government on the state of fulfilment of international commitments of the Slovak Republic in the field of climate change policy.",0,0,,0
861,Act No. 250/2012 on regulation of network industries as amended,"Institutions / Administrative Arrangements, Energy Supply","The Act gives new competences to the independent national energy regulator with regard to determining prices of energy for each supplier and licensing new market participants.<br />
<br />
This Act lays down provisions concerning functioning of network industries including electrical energy, gas industry, thermal energy and water management. The present Act establishes the status and competence of the Regulatory Office for Network Industries, obligations of responsible persons, and rules of functioning of the internal market of electrical energy and the internal gas market. The purpose of this Act is to ensure the availability of goods and related regulated activities at reasonable price and specified quality.<br />
<br />
The act and its rules and regulations contribute to some extent to reduced support for electricity production from fossil sources, in particular coal, through price regulation.",0,0,,0
865,"Introduction of smart meters and distribution networks, Decree of the Ministry of agriculture No. 358/2013 Coll.","Energy Supply, Energy Demand","The decree supports the introduction of smart distribution networks by establishing framework for smart meters installation, thus allowing for optimisation of use and efficient management of energy.",1,0,,0
897,Government Decision no. 739/2016 approving the National Climate Change and Low Carbon Green Growth Strategy 2016-2020 and National Action Plan for Implementation of the Strategy,Institutions / Administrative Arrangements,This Government Decision sets up the National Climate Change and Low Carbon Green Growth Strategy (annex 1) and the National Action Plan for Implementation of the Strategy (annex 2) over the period 2016-2020. This Decision repeals Government Decision no. 529/2013 that previously organised the Romanian National Strategy on Climate Change over the period 2013-2020.,0,0,,0
926,Act. No. 587/2004 Coll. on Environmental Fund,"Institutions / Administrative Arrangements, Research And Development, Energy Demand, Redd+ And Lulucf, Transportation","The Act establishes the Environmental Fund to channel state support to the protection of the environment. The Fund is co-ordinated by the office of the Ministry of Environment. The Act defines fees, fines and penalties for environmental pollution as the main source of its income, along other sources, including revenues from the sold â€˜assigned amount units' (AAUs) through GHG emissions trade. It requires allocation and use of the funds to be in compliance with priorities and objectives of the state environmental policy.<br />
<br />
The Environmental Fund financial means are to be used in the form of loans or grants to support activities aimed to achieve the objectives of the state environmental policy, foster research or raise public awareness on environmental issues. The projects supported include those concentrating on monitoring of potentially attainable and actual GHG emissions, financing of research in energy efficiency, low carbon technologies and renewable resources, modernisation of equipment aimed at improving consumer energy efficiency, increasing energy efficiency of buildings, support of transition to low-carbon transportation and shift from individual to public transport, protection of forests damaged by air pollutants (SO2) and by the spread of parasites.",0,1,,0
927,Energy Act (Energetski zakon; EZ-1),"Institutions / Administrative Arrangements, Research And Development, Energy Supply, Energy Demand","This Act promotes renewable energy and recognises the role of energy policy in reducing GHG emissions. It replaces the 2005 Energy Act.

subsidies for facilities producing electricity from renewable energy sources and cogeneration plants",0,0,,0
933,Royal Decree 658/2019 on environmental subsidies,"Mitigation, Climate Change","<div>This royal decree regulates the direct granting of subsidies for the 2019 budget year for actions in the area of ​​climate change and national parks.The first of these subsidies is intended for the Spanish Federation of Municipalities and Provinces (FEMP) to promote and facilitate the development of local initiatives on climate change.<br><br>The FEMP is an association of local entities with full legal personality for the promotion and defense of the autonomy of these entities, which currently represents more than 90 percent of Spanish local governments. Given the relevance of the FEMP as a representative body for local entities in various fields and its cooperative and collaborative action, there is an adequate justification for the granting of the grant, which aims to promote and facilitate the development of local initiatives in the field of In this context, the direct granting of subsidies regulated in this royal decree is foreseen for actions on climate change and national parks.In this context, the direct granting of subsidies regulated in this royal decree is foreseen for actions in the area of ​​climate change and national parks.<br><br>This royal decree has for the purpose of regulating the direct concession, on an exceptional basis and for reasons of public interest, in accordance with what is determined in the resolutions or in the collaboration agreements, and in the terms established in this royal decree, of the following subsidies: 1) To the Spanish Federation of Municipalities and Provinces, to promote and facilitate the development of local initiatives on climate change, 2) To the Association of Municipalities with territory in National Parks (AMUPARNA), to support the dissemination of the network of National Parks at the local level, 3) To the City Council of the Royal Site of San Ildefonso, for mutual support in the field of sustainable development and in the Scope of their respective activities, 4) To the Spanish Society of Ornithology SEO / BirdLIFE, to encourage their participation in the Council of the Network of National Parks, 5) To Ecologists in Action, to promote their participation in the Council of the Network of National Parks, 6) To WWF-Adena, to encourage their participation in the Council of the Network of National Parks, 7) To the Foundation for the Conservation of the Bearded Vulture, for conservation actions of the Project Life + Red bearded vulture.</div>",0,0,,0
934,"Royal Decree 244/2019 regulating the administrative, technical and economic conditions of the self-consumption of electric energy","Institutions / Administrative Arrangements, Energy Supply, Energy Demand","This decree seeks to promote the self-consumption of energy, and particularly renewable energy, by regulating the sector. It notably 1) updates the framework for the connection and energy supply to the electricity grid, and the economic compensations attached to different schemes 2) authorises the self-consumption for a group of people (beyond single owners), and 3) ease the regulatory process for small-scale producers.

This document derives from <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-24-2013-on-the-electric-sector/"">Law 24/2013</a> on the energy sector, and <a href=""http://www.lse.ac.uk/GranthamInstitute/law/royal-decree-law-15-2018-on-urgent-measures-for-energy-transition-and-consumer-protection/"">Royal Decree-Law 15/2018</a>.",0,0,,0
